sampleID	FrEIA_score	ref_genome	settings
LP0025_21_L004	4.265198695981885	0memhg19	FalseDI26830XA
LP0025_24_L003	11.946122224672555	0memhg19	FalseDI26830XA
LP0026_05_L003	3.225208682536526	0memhg19	FalseDI26830XA
LP0026_07_L003	3.4846994196751027	0memhg19	FalseDI26830XA
LP0026_08_L003	5.857089439635467	0memhg19	FalseDI26830XA
LP0026_22_L003	7.065066158881597	0memhg19	FalseDI26830XA
LP0026_26_L004	5.682838794653772	0memhg19	FalseDI26830XA
LP0026_38_L004	10.195315566322197	0memhg19	FalseDI26830XA
LP0026_42_L004	6.448845463373485	0memhg19	FalseDI26830XA
LP0027_26_L003	7.926769228028043	0memhg19	FalseDI26830XA
LP0027_35_L003	5.7962626881776025	0memhg19	FalseDI26830XA
LP0027_39_L003	4.692587504639152	0memhg19	FalseDI26830XA
LP0028_01_L004	12.272558381520332	0memhg19	FalseDI26830XA
LP0029_02_L004	2.2269251303547133	0memhg19	FalseDI26830XA
LP0029_04_L003	10.768560961524324	0memhg19	FalseDI26830XA
LP0029_05_L004	8.13664369892115	0memhg19	FalseDI26830XA
LP0029_06_L003	9.56613030992619	0memhg19	FalseDI26830XA
LP0030_03_L004	7.397552208588485	0memhg19	FalseDI26830XA
LP0030_05_L004	6.273047673358975	0memhg19	FalseDI26830XA
LP0020_01	0.9488336974037944	0memhg19	True40
LP0020_02	0.5226614727911195	0memhg19	True40
LP0020_03	1.4473856293589467	0memhg19	True40
LP0020_04	1.438365946325805	0memhg19	True40
LP0020_05	0.8086515880761616	0memhg19	True40
LP0020_06	0.8997503782492683	0memhg19	True40
LP0020_07	0.8764665833775136	0memhg19	True40
LP0020_08	0.8871934070171618	0memhg19	True40
LP0025_01_L004	1.2618224792773225	0memhg19	True40
LP0025_02_L004	1.4238613024173261	0memhg19	True40
LP0025_03_L003	1.1967431770154404	0memhg19	True40
LP0025_04_L004	0.5098219392814899	0memhg19	True40
LP0025_05_L003	0.902719824460779	0memhg19	True40
LP0025_06_L003	5.201549667936294	0memhg19	True40
LP0025_07_L004	4.237354679975089	0memhg19	True40
LP0025_08_L004	1.5707692989116477	0memhg19	True40
LP0025_10_L003	5.292668424644862	0memhg19	True40
LP0025_11_L003	4.349413462950066	0memhg19	True40
LP0025_12_L003	5.661125119709622	0memhg19	True40
LP0025_15_L003	16.791068619197663	0memhg19	True40
LP0025_17_L003	8.316566532988087	0memhg19	True40
LP0025_21_L004	5.377619534043115	0memhg19	True40
LP0025_24_L003	15.547246473476186	0memhg19	True40
LP0026_05_L003	3.86329765555789	0memhg19	True40
LP0026_07_L003	3.975080756873859	0memhg19	True40
LP0026_08_L003	5.912200470462521	0memhg19	True40
LP0026_22_L003	7.18541608984521	0memhg19	True40
LP0026_26_L004	5.957672107343652	0memhg19	True40
LP0026_38_L004	9.981330701715162	0memhg19	True40
LP0026_42_L004	6.322810920886815	0memhg19	True40
LP0027_26_L003	8.064306239324225	0memhg19	True40
LP0027_35_L003	5.703878719351169	0memhg19	True40
LP0027_39_L003	4.723610951793558	0memhg19	True40
LP0028_01_L004	14.080020676312163	0memhg19	True40
LP0029_02_L004	2.690016362169434	0memhg19	True40
LP0029_04_L003	13.475326652838696	0memhg19	True40
