sampleID	FrEIA_score	ref_genome	settings
LP0027_35_L003	5.8138541211302055	0memhg19	FalseDI26830XA
LP0027_39_L003	4.685737591210297	0memhg19	FalseDI26830XA
LP0028_01_L004	11.7246310640917	0memhg19	FalseDI26830XA
LP0029_02_L004	2.243394007565677	0memhg19	FalseDI26830XA
LP0029_04_L003	12.236173867666889	0memhg19	FalseDI26830XA
LP0029_05_L004	7.890897818413754	0memhg19	FalseDI26830XA
LP0029_06_L003	10.680072706937326	0memhg19	FalseDI26830XA
LP0030_03_L004	6.9800300939907105	0memhg19	FalseDI26830XA
LP0030_05_L004	5.991813275519407	0memhg19	FalseDI26830XA
LP0020_01	0.8755352921533804	0memhg19	True40
LP0020_02	0.47972256572930105	0memhg19	True40
LP0020_03	1.3677338901122793	0memhg19	True40
LP0020_04	1.438390709635404	0memhg19	True40
LP0020_05	0.731908263007913	0memhg19	True40
LP0020_06	0.8970287782610318	0memhg19	True40
LP0020_07	0.794572923693157	0memhg19	True40
LP0020_08	0.8792627352660576	0memhg19	True40
LP0025_01_L004	1.2698278475022133	0memhg19	True40
LP0025_02_L004	1.4407176941974824	0memhg19	True40
LP0025_03_L003	1.2136950375576283	0memhg19	True40
LP0025_04_L004	0.48981609762844913	0memhg19	True40
LP0025_05_L003	0.8935937437106142	0memhg19	True40
LP0025_06_L003	5.404669448228881	0memhg19	True40
LP0025_07_L004	4.15575292600853	0memhg19	True40
LP0025_08_L004	1.5606058578080315	0memhg19	True40
LP0025_10_L003	5.271199250894656	0memhg19	True40
LP0025_11_L003	4.388777571225699	0memhg19	True40
LP0025_12_L003	5.2275588056533095	0memhg19	True40
LP0025_15_L003	14.759042602950641	0memhg19	True40
LP0025_17_L003	8.360680570142925	0memhg19	True40
LP0025_21_L004	5.618236219671048	0memhg19	True40
LP0025_24_L003	14.454321760055766	0memhg19	True40
LP0026_05_L003	3.882980943996311	0memhg19	True40
LP0026_07_L003	4.19427913304729	0memhg19	True40
LP0026_08_L003	5.823478786700308	0memhg19	True40
LP0026_22_L003	7.458102012325111	0memhg19	True40
LP0026_26_L004	6.124273090363665	0memhg19	True40
LP0026_38_L004	10.506385353106289	0memhg19	True40
LP0026_42_L004	6.483214050183874	0memhg19	True40
LP0027_26_L003	7.6312165543734665	0memhg19	True40
LP0027_35_L003	5.675851635164361	0memhg19	True40
LP0027_39_L003	4.721961045436868	0memhg19	True40
LP0028_01_L004	13.841022490883224	0memhg19	True40
LP0029_02_L004	2.7496203473128054	0memhg19	True40
LP0029_04_L003	16.690129830126164	0memhg19	True40
LP0029_05_L004	12.983135579229964	0memhg19	True40
LP0029_06_L003	11.605373470532035	0memhg19	True40
LP0030_03_L004	7.760928050874768	0memhg19	True40
LP0030_05_L004	7.0446782082443145	0memhg19	True40
LP0020_01	0.8898094405908332	0memhg19	TrueDI26830XA
LP0020_02	0.5687176170983254	0memhg19	TrueDI26830XA
LP0020_03	1.3951447175063822	0memhg19	TrueDI26830XA
LP0020_04	1.4655059564453827	0memhg19	TrueDI26830XA
LP0020_05	0.7814051891835224	0memhg19	TrueDI26830XA
LP0020_06	0.8882468941268489	0memhg19	TrueDI26830XA
