sampleID	dip_depth	ref_genome	settings
LP0020_05	0.54	0memhg19decoy	False40
LP0026_26_L004	-1.41	0memhg19decoy	False40
LP0025_15_L003	1.05	0memhg19decoy	False40
LP0029_06_L003	-0.07	0memhg19decoy	False40
LP0025_24_L003	0.15	0memhg19decoy	False40
LP0025_04_L004	-0.01	0memhg19decoy	False40
LP0026_07_L003	0.52	0memhg19decoy	False40
LP0029_05_L004	-0.47	0memhg19decoy	False40
LP0020_01	2.37	0memhg19decoy	False40
LP0025_08_L004	0.26	0memhg19decoy	False40
LP0020_04	0.66	0memhg19decoy	False40
LP0028_01_L004	0.38	0memhg19decoy	False40
LP0025_11_L003	0.25	0memhg19decoy	FalseDI26830XA
LP0025_06_L003	-0.02	0memhg19decoy	FalseDI26830XA
LP0030_05_L004	0.33	0memhg19decoy	FalseDI26830XA
LP0030_03_L004	-1.81	0memhg19decoy	FalseDI26830XA
LP0020_03	0.15	0memhg19decoy	FalseDI26830XA
LP0020_06	0.25	0memhg19decoy	FalseDI26830XA
LP0025_07_L004	-0.31	0memhg19decoy	FalseDI26830XA
LP0025_12_L003	0.23	0memhg19decoy	FalseDI26830XA
LP0025_17_L003	0.42	0memhg19decoy	FalseDI26830XA
LP0026_22_L003	-1.31	0memhg19decoy	FalseDI26830XA
LP0025_05_L003	-1.55	0memhg19decoy	FalseDI26830XA
LP0027_39_L003	0.23	0memhg19decoy	FalseDI26830XA
LP0025_03_L003	-0.74	0memhg19decoy	FalseDI26830XA
LP0020_07	-0.33	0memhg19decoy	FalseDI26830XA
LP0026_05_L003	0.65	0memhg19decoy	FalseDI26830XA
LP0025_01_L004	-0.38	0memhg19decoy	FalseDI26830XA
LP0025_21_L004	-0.11	0memhg19decoy	FalseDI26830XA
LP0027_26_L003	-1.24	0memhg19decoy	FalseDI26830XA
LP0020_08	0.59	0memhg19decoy	FalseDI26830XA
LP0027_35_L003	-1.0	0memhg19decoy	FalseDI26830XA
LP0026_42_L004	-1.3	0memhg19decoy	FalseDI26830XA
LP0026_38_L004	-1.16	0memhg19decoy	FalseDI26830XA
LP0025_02_L004	-1.7	0memhg19decoy	FalseDI26830XA
LP0026_08_L003	-0.44	0memhg19decoy	FalseDI26830XA
LP0025_10_L003	-1.79	0memhg19decoy	FalseDI26830XA
LP0029_02_L004	1.33	0memhg19decoy	FalseDI26830XA
LP0020_02	-1.48	0memhg19decoy	FalseDI26830XA
LP0029_04_L003	0.66	0memhg19decoy	FalseDI26830XA
LP0020_05	0.66	0memhg19decoy	FalseDI26830XA
LP0026_26_L004	-1.5	0memhg19decoy	FalseDI26830XA
LP0025_15_L003	0.68	0memhg19decoy	FalseDI26830XA
LP0029_06_L003	-0.15	0memhg19decoy	FalseDI26830XA
LP0025_24_L003	0.06	0memhg19decoy	FalseDI26830XA
LP0025_04_L004	0.15	0memhg19decoy	FalseDI26830XA
LP0026_07_L003	0.47	0memhg19decoy	FalseDI26830XA
LP0029_05_L004	-0.49	0memhg19decoy	FalseDI26830XA
LP0020_01	2.37	0memhg19decoy	FalseDI26830XA
LP0025_08_L004	0.1	0memhg19decoy	FalseDI26830XA
LP0020_04	0.81	0memhg19decoy	FalseDI26830XA
LP0028_01_L004	0.27	0memhg19decoy	FalseDI26830XA
LP0025_11_L003	0.21	0memhg19decoy	True40
LP0025_06_L003	-0.49	0memhg19decoy	True40
LP0030_05_L004	0.26	0memhg19decoy	True40
LP0030_03_L004	-1.85	0memhg19decoy	True40
LP0020_03	-0.04	0memhg19decoy	True40
LP0020_06	-0.26	0memhg19decoy	True40
LP0025_07_L004	-0.41	0memhg19decoy	True40
LP0025_12_L003	0.37	0memhg19decoy	True40
LP0025_17_L003	0.86	0memhg19decoy	True40
LP0026_22_L003	-1.35	0memhg19decoy	True40
LP0025_05_L003	-1.71	0memhg19decoy	True40
LP0027_39_L003	0.61	0memhg19decoy	True40
LP0025_03_L003	-0.97	0memhg19decoy	True40
LP0020_07	0.11	0memhg19decoy	True40
LP0026_05_L003	0.14	0memhg19decoy	True40
LP0025_01_L004	-0.05	0memhg19decoy	True40
LP0025_21_L004	0.08	0memhg19decoy	True40
LP0027_26_L003	-1.25	0memhg19decoy	True40
LP0020_08	0.4	0memhg19decoy	True40
LP0027_35_L003	-0.67	0memhg19decoy	True40
LP0026_42_L004	-0.76	0memhg19decoy	True40
LP0026_38_L004	-1.0	0memhg19decoy	True40
LP0025_02_L004	-1.57	0memhg19decoy	True40
LP0026_08_L003	-0.16	0memhg19decoy	True40
LP0025_10_L003	-1.33	0memhg19decoy	True40
LP0029_02_L004	1.48	0memhg19decoy	True40
LP0020_02	-1.62	0memhg19decoy	True40
LP0029_04_L003	0.73	0memhg19decoy	True40
LP0020_05	0.57	0memhg19decoy	True40
