sampleID	tMAD_vs_control	ref_genome	settings
LP0025_24_L003	0.010810625	0memhg19decoy	False40
LP0026_05_L003	0.013899375	0memhg19decoy	False40
LP0026_07_L003	0.0068449971973152	0memhg19decoy	False40
LP0026_08_L003	0.331950426403483	0memhg19decoy	False40
LP0026_22_L003	0.0192583677418223	0memhg19decoy	False40
LP0026_26_L004	0.0726646358956365	0memhg19decoy	False40
LP0026_38_L004	0.0943583551734286	0memhg19decoy	False40
LP0026_42_L004	0.106869789502344	0memhg19decoy	False40
LP0027_26_L003	0.069496875	0memhg19decoy	False40
LP0027_35_L003	0.0613615015333505	0memhg19decoy	False40
LP0027_39_L003	0.0532339069204953	0memhg19decoy	False40
LP0028_01_L004	0.199124886294838	0memhg19decoy	False40
LP0020_01	0.00993649016856775	0memhg19decoy	FalseDI26830XA
LP0020_02	0.0163138867593844	0memhg19decoy	FalseDI26830XA
LP0020_03	0.0209822995780724	0memhg19decoy	FalseDI26830XA
LP0020_04	0.0295162714803202	0memhg19decoy	FalseDI26830XA
LP0020_05	0.0132037137746932	0memhg19decoy	FalseDI26830XA
LP0020_06	0.0277928925116211	0memhg19decoy	FalseDI26830XA
LP0020_07	0.00813470441727883	0memhg19decoy	FalseDI26830XA
LP0020_08	0.0197027027966078	0memhg19decoy	FalseDI26830XA
LP0025_01_L004	0.00463312499999998	0memhg19decoy	FalseDI26830XA
LP0025_02_L004	0.006157840467664	0memhg19decoy	FalseDI26830XA
LP0025_03_L003	0.00364086087153321	0memhg19decoy	FalseDI26830XA
LP0025_04_L004	0.00772187500000002	0memhg19decoy	FalseDI26830XA
LP0025_07_L004	0.00603158180723791	0memhg19decoy	FalseDI26830XA
LP0025_08_L004	0.00405219729159922	0memhg19decoy	FalseDI26830XA
LP0029_02_L004	0.00334502962185949	0memhg19decoy	FalseDI26830XA
LP0029_04_L003	0.00503966021385057	0memhg19decoy	FalseDI26830XA
LP0029_05_L004	0.00404397241162496	0memhg19decoy	FalseDI26830XA
LP0029_06_L003	0.00613396151317501	0memhg19decoy	FalseDI26830XA
LP0030_03_L004	0.00294260326387553	0memhg19decoy	FalseDI26830XA
LP0030_05_L004	0.00404762492731296	0memhg19decoy	FalseDI26830XA
LP0025_05_L003	0.00791198468038279	0memhg19decoy	FalseDI26830XA
LP0025_06_L003	0.00403850257573663	0memhg19decoy	FalseDI26830XA
LP0025_10_L003	0.0293055948400727	0memhg19decoy	FalseDI26830XA
LP0025_11_L003	0.011320793014955	0memhg19decoy	FalseDI26830XA
LP0025_12_L003	0.0185090602371726	0memhg19decoy	FalseDI26830XA
LP0025_15_L003	0.0678036790211889	0memhg19decoy	FalseDI26830XA
LP0025_17_L003	0.0280371934961356	0memhg19decoy	FalseDI26830XA
LP0025_21_L004	0.17057042647822	0memhg19decoy	FalseDI26830XA
LP0025_24_L003	0.00812841021385053	0memhg19decoy	FalseDI26830XA
LP0026_05_L003	0.0179565858755879	0memhg19decoy	FalseDI26830XA
LP0026_07_L003	0.00748853175460814	0memhg19decoy	FalseDI26830XA
LP0026_08_L003	0.325416244899129	0memhg19decoy	FalseDI26830XA
LP0026_22_L003	0.0174522302420088	0memhg19decoy	FalseDI26830XA
LP0026_26_L004	0.0501428744003804	0memhg19decoy	FalseDI26830XA
LP0026_38_L004	0.0902616603192374	0memhg19decoy	FalseDI26830XA
LP0026_42_L004	0.108881273698096	0memhg19decoy	FalseDI26830XA
LP0027_26_L003	0.0702796203987757	0memhg19decoy	FalseDI26830XA
LP0027_35_L003	0.0606068496202305	0memhg19decoy	FalseDI26830XA
LP0027_39_L003	0.0501371559612127	0memhg19decoy	FalseDI26830XA
LP0028_01_L004	0.178082638925324	0memhg19decoy	FalseDI26830XA
LP0020_01	0.0158171296322809	0memhg19decoy	True40
LP0020_02	0.013434180528412	0memhg19decoy	True40
LP0020_03	0.0131574586405391	0memhg19decoy	True40
LP0020_04	0.0263019679808696	0memhg19decoy	True40
LP0020_05	0.0191999971973152	0memhg19decoy	True40
LP0020_06	0.0288746824036169	0memhg19decoy	True40
LP0020_07	0.00854467002511402	0memhg19decoy	True40
LP0020_08	0.0155079140273441	0memhg19decoy	True40
LP0025_01_L004	0.00772187500000002	0memhg19decoy	True40
LP0025_02_L004	0.00783383362164485	0memhg19decoy	True40
LP0025_03_L003	0.00404579807284711	0memhg19decoy	True40
LP0025_04_L004	0.00544905362183323	0memhg19decoy	True40
LP0025_07_L004	0.00713454807284715	0memhg19decoy	True40
LP0025_08_L004	0.00404579807284715	0memhg19decoy	True40
LP0029_02_L004	0.00364017613700113	0memhg19decoy	True40
LP0029_04_L003	0.00573906009037665	0memhg19decoy	True40
LP0029_05_L004	0.00404214794247672	0memhg19decoy	True40
LP0029_06_L003	0.00755228850104819	0memhg19decoy	True40
LP0030_03_L004	0.00279463004657692	0memhg19decoy	True40
LP0030_05_L004	0.00294146166664519	0memhg19decoy	True40
LP0025_05_L003	0.00911964640117727	0memhg19decoy	True40
LP0025_06_L003	0.00643058836417041	0memhg19decoy	True40
LP0025_10_L003	0.0307494104455057	0memhg19decoy	True40
LP0025_11_L003	0.00755228850104819	0memhg19decoy	True40
LP0025_12_L003	0.0157227261450169	0memhg19decoy	True40
LP0025_15_L003	0.0645699196155758	0memhg19decoy	True40
LP0025_17_L003	0.0242339809878751	0memhg19decoy	True40
LP0025_21_L004	0.165206531031139	0memhg19decoy	True40
LP0025_24_L003	0.00772187499999998	0memhg19decoy	True40
LP0026_05_L003	0.016988125	0memhg19decoy	True40
LP0026_07_L003	0.00685460545043784	0memhg19decoy	True40
LP0026_08_L003	0.327629159822206	0memhg19decoy	True40
LP0026_22_L003	0.0176838848348654	0memhg19decoy	True40
LP0026_26_L004	0.0828269652170568	0memhg19decoy	True40
