sampleID	globlen_mean	ref_genome	settings
LP0025_02_L004	131.03769581033737	0memhg19	FalseDI26830XA
LP0025_03_L003	135.25752415388504	0memhg19	FalseDI26830XA
LP0025_04_L004	137.24263553933187	0memhg19	FalseDI26830XA
LP0025_05_L003	136.7724010860241	0memhg19	FalseDI26830XA
LP0025_06_L003	137.08668652146352	0memhg19	FalseDI26830XA
LP0025_07_L004	136.9517714313312	0memhg19	FalseDI26830XA
LP0025_08_L004	136.81019677782854	0memhg19	FalseDI26830XA
LP0025_10_L003	131.69670131012737	0memhg19	FalseDI26830XA
LP0025_11_L003	137.42331041040913	0memhg19	FalseDI26830XA
LP0025_12_L003	138.88100335758512	0memhg19	FalseDI26830XA
LP0025_15_L003	135.66220020261503	0memhg19	FalseDI26830XA
LP0025_17_L003	138.23884853575993	0memhg19	FalseDI26830XA
LP0025_21_L004	136.5759543527749	0memhg19	FalseDI26830XA
LP0025_24_L003	137.22635997821578	0memhg19	FalseDI26830XA
LP0026_05_L003	137.7087008182103	0memhg19	FalseDI26830XA
LP0026_07_L003	137.81784229846122	0memhg19	FalseDI26830XA
LP0026_08_L003	134.07749803525752	0memhg19	FalseDI26830XA
LP0026_22_L003	132.4808732065409	0memhg19	FalseDI26830XA
LP0026_26_L004	136.1330482102907	0memhg19	FalseDI26830XA
LP0026_38_L004	135.55944041148086	0memhg19	FalseDI26830XA
LP0026_42_L004	134.23014595060093	0memhg19	FalseDI26830XA
LP0027_26_L003	137.53515317383145	0memhg19	FalseDI26830XA
LP0027_35_L003	138.4090179134325	0memhg19	FalseDI26830XA
LP0027_39_L003	136.8772656751088	0memhg19	FalseDI26830XA
LP0028_01_L004	133.99943058004703	0memhg19	FalseDI26830XA
LP0029_02_L004	136.09840409293506	0memhg19	FalseDI26830XA
LP0029_04_L003	137.52766298267562	0memhg19	FalseDI26830XA
LP0029_05_L004	137.08733381455863	0memhg19	FalseDI26830XA
LP0029_06_L003	136.66351613988562	0memhg19	FalseDI26830XA
LP0030_03_L004	136.30304186316852	0memhg19	FalseDI26830XA
LP0030_05_L004	136.3690833156786	0memhg19	FalseDI26830XA
LP0020_01	136.78084345872105	0memhg19	True40
LP0020_02	135.875079445374	0memhg19	True40
LP0020_03	137.13128558228263	0memhg19	True40
LP0020_04	137.90984005306996	0memhg19	True40
LP0020_05	136.38022633204716	0memhg19	True40
LP0020_06	134.29539081429854	0memhg19	True40
LP0020_07	135.7092239753392	0memhg19	True40
LP0020_08	135.16591367308797	0memhg19	True40
LP0025_01_L004	135.26503780243954	0memhg19	True40
LP0025_02_L004	131.05917446594114	0memhg19	True40
LP0025_03_L003	135.04654289622553	0memhg19	True40
LP0025_04_L004	136.94795721555553	0memhg19	True40
LP0025_05_L003	136.4908024579334	0memhg19	True40
LP0025_06_L003	136.83495752725483	0memhg19	True40
LP0025_07_L004	136.72667303336388	0memhg19	True40
LP0025_08_L004	136.5339526613669	0memhg19	True40
LP0025_10_L003	131.66165266966956	0memhg19	True40
LP0025_11_L003	137.18970484008426	0memhg19	True40
LP0025_12_L003	138.58359795273128	0memhg19	True40
LP0025_15_L003	135.50549939932128	0memhg19	True40
LP0025_17_L003	137.95071674389078	0memhg19	True40
LP0025_21_L004	136.37058809907685	0memhg19	True40
LP0025_24_L003	136.93142766718086	0memhg19	True40
LP0026_05_L003	137.40892682086158	0memhg19	True40
LP0026_07_L003	137.51752381383545	0memhg19	True40
LP0026_08_L003	133.98908295109968	0memhg19	True40
LP0026_22_L003	132.41175720212652	0memhg19	True40
LP0026_26_L004	136.0153005024492	0memhg19	True40
LP0026_38_L004	135.3781397897267	0memhg19	True40
LP0026_42_L004	134.13678720134297	0memhg19	True40
LP0027_26_L003	137.33349063263378	0memhg19	True40
LP0027_35_L003	138.2029892704995	0memhg19	True40
LP0027_39_L003	136.69609932421812	0memhg19	True40
LP0028_01_L004	133.91303710504232	0memhg19	True40
LP0029_02_L004	135.90751125654356	0memhg19	True40
