sampleID,phenotype,tmad_vs_control,tmad_vs_none,ref_genome,settings
LP0020_07,healthy_control,0.003643948,0.004341746,30memhg19,TrueDI26830XA
LP0020_07,healthy_control,0.003644291,0.004048539,30memhg19decoy,TrueDI1230XA
LP0020_07,healthy_control,0.004633125,0.004633125,30memhg19decoy,FalseDI26830XA
LP0020_07,healthy_control,0.003642918,0.008823701,30memhg19decoy,True40
LP0020_08,healthy_control,0.010343487,0.011327181,30memhg19,True40
LP0020_08,healthy_control,0.010343487,0.009907778,0memhg19,True40
LP0020_08,healthy_control,0.010615813,0.010306679,30memhg19,False40
LP0020_08,healthy_control,0.007721875,0.01191382,30memhg19decoy,False40
LP0020_08,healthy_control,0.007721875,0.009118734,0memhg19,False40
LP0020_08,healthy_control,0.007721875,0.01091335,0memhg19decoy,True40
LP0020_08,healthy_control,0.009656101,0.008616491,0memhg19decoy,False40
LP0020_08,healthy_control,0.008520696,0.01033766,0memhg19decoy,TrueDI1230XA
LP0020_08,healthy_control,0.010621736,0.013899375,30memhg19decoy,FalseDI1230XA
LP0020_08,healthy_control,0.008938059,0.008122139,30memhg19,TrueDI1230XA
LP0020_08,healthy_control,0.009924161,0.011468886,30memhg19,FalseDI1230XA
LP0020_08,healthy_control,0.01203881,0.010770058,0memhg19,FalseDI26830XA
LP0020_08,healthy_control,0.008951777,0.010810625,0memhg19decoy,FalseDI1230XA
LP0020_08,healthy_control,0.009924161,0.008823701,0memhg19,TrueDI1230XA
LP0020_08,healthy_control,0.008951777,0.007721875,0memhg19,FalseDI1230XA
LP0020_08,healthy_control,0.013310222,0.011374577,30memhg19decoy,True40
LP0020_08,healthy_control,0.009935118,0.012710135,30memhg19decoy,TrueDI1230XA
LP0020_08,healthy_control,0.008823701,0.00472971,30memhg19decoy,TrueDI26830XA
LP0020_08,healthy_control,0.010355158,0.012208168,30memhg19decoy,FalseDI26830XA
LP0020_08,healthy_control,0.009915961,0.007721875,30memhg19,TrueDI26830XA
LP0020_08,healthy_control,0.009922793,0.010767537,30memhg19,FalseDI26830XA
LP0020_08,healthy_control,0.009615923,0.01130168,0memhg19decoy,TrueDI26830XA
LP0020_08,healthy_control,0.009225218,0.010068709,0memhg19decoy,FalseDI26830XA
LP0020_08,healthy_control,0.011789581,0.006029528,0memhg19,TrueDI26830XA
LP0025_01_L004,healthy_control,0.002646201,0.003639834,0memhg19,True40
LP0025_01_L004,healthy_control,0.003348225,0.003641203,0memhg19,FalseDI1230XA
LP0025_01_L004,healthy_control,0.003639492,0.00265031,30memhg19decoy,TrueDI1230XA
LP0025_01_L004,healthy_control,0.003343433,0.00264894,0memhg19,False40
LP0025_01_L004,healthy_control,0.003640176,0.002242975,0memhg19,TrueDI1230XA
LP0025_01_L004,healthy_control,0.002941918,0.00264894,30memhg19decoy,True40
LP0025_01_L004,healthy_control,0.003640861,0.002242975,0memhg19decoy,False40
LP0025_01_L004,healthy_control,0.003348225,0.004340375,0memhg19decoy,FalseDI1230XA
LP0025_01_L004,healthy_control,0.003341838,0.003640176,30memhg19decoy,TrueDI26830XA
LP0025_01_L004,healthy_control,0.001948057,0.002242975,0memhg19,TrueDI26830XA
LP0025_01_L004,healthy_control,0.003348225,0.003641203,0memhg19,FalseDI26830XA
LP0025_01_L004,healthy_control,0.002242975,0.003349824,0memhg19decoy,TrueDI1230XA
LP0025_01_L004,healthy_control,0.002941462,0.00264894,30memhg19,True40
LP0025_01_L004,healthy_control,0.002645517,0.003640176,30memhg19,False40
LP0025_01_L004,healthy_control,0.003640518,0.002242975,0memhg19decoy,True40
LP0025_01_L004,healthy_control,0.002941234,0.003641546,30memhg19,FalseDI1230XA
LP0025_01_L004,healthy_control,0.003348225,0.002649625,0memhg19decoy,TrueDI26830XA
LP0025_01_L004,healthy_control,0.003348225,0.003641546,0memhg19decoy,FalseDI26830XA
LP0025_01_L004,healthy_control,0.00264894,0.003639834,30memhg19,TrueDI1230XA
LP0025_01_L004,healthy_control,0.003349025,0.003641546,30memhg19decoy,FalseDI26830XA
LP0025_01_L004,healthy_control,0.004042148,0.00265031,30memhg19decoy,False40
LP0025_01_L004,healthy_control,0.003349025,0.003641546,30memhg19decoy,FalseDI1230XA
LP0025_01_L004,healthy_control,0.002941234,0.003640176,30memhg19,FalseDI26830XA
LP0025_01_L004,healthy_control,0.003349025,0.002242975,30memhg19,TrueDI26830XA
LP0025_02_L004,healthy_control,0.00615406,0.007721875,0memhg19,True40
LP0025_02_L004,healthy_control,0.009820761,0.007721875,0memhg19,False40
LP0025_02_L004,healthy_control,0.005037948,0.007721875,0memhg19,FalseDI1230XA
LP0025_02_L004,healthy_control,0.005037948,0.007721875,0memhg19,FalseDI26830XA
LP0025_02_L004,healthy_control,0.007844125,0.007721875,30memhg19decoy,False40
LP0025_02_L004,healthy_control,0.006141486,0.007721875,30memhg19,True40
LP0025_02_L004,healthy_control,0.00685598,0.007721875,30memhg19,False40
LP0025_02_L004,healthy_control,0.007537433,0.007721875,0memhg19decoy,True40
LP0025_02_L004,healthy_control,0.009526525,0.007721875,0memhg19decoy,False40
LP0025_02_L004,healthy_control,0.005737005,0.007721875,0memhg19decoy,FalseDI1230XA
LP0025_02_L004,healthy_control,0.006436176,0.007721875,0memhg19,TrueDI1230XA
LP0025_02_L004,healthy_control,0.004752284,0.007721875,0memhg19,TrueDI26830XA
LP0025_02_L004,healthy_control,0.00615532,0.007721875,30memhg19decoy,True40
LP0025_02_L004,healthy_control,0.005737005,0.007721875,30memhg19decoy,TrueDI1230XA
LP0025_02_L004,healthy_control,0.005038518,0.007721875,30memhg19decoy,FalseDI1230XA
LP0025_02_L004,healthy_control,0.005038518,0.008550402,30memhg19,TrueDI1230XA
LP0025_02_L004,healthy_control,0.005037948,0.007721875,30memhg19,FalseDI1230XA
LP0025_02_L004,healthy_control,0.004050367,0.007721875,0memhg19decoy,TrueDI1230XA
LP0025_02_L004,healthy_control,0.005038518,0.008939772,0memhg19decoy,TrueDI26830XA
LP0025_02_L004,healthy_control,0.005737005,0.007721875,0memhg19decoy,FalseDI26830XA
LP0025_02_L004,healthy_control,0.005038518,0.007721875,30memhg19decoy,FalseDI26830XA
LP0025_02_L004,healthy_control,0.004339918,0.007721875,30memhg19,TrueDI26830XA
LP0025_02_L004,healthy_control,0.005037948,0.007721875,30memhg19,FalseDI26830XA
LP0025_02_L004,healthy_control,0.00573632,0.009643286,30memhg19decoy,TrueDI26830XA
LP0025_03_L003,healthy_control,0.002940094,0.004046711,30memhg19decoy,True40
LP0025_03_L003,healthy_control,0.002940322,0.005442201,0memhg19,FalseDI26830XA
LP0025_03_L003,healthy_control,0.003638125,0.004745084,30memhg19decoy,TrueDI26830XA
LP0025_03_L003,healthy_control,0.003638808,0.004745084,30memhg19,TrueDI26830XA
LP0025_03_L003,healthy_control,0.003637783,0.004047625,30memhg19decoy,TrueDI1230XA
LP0025_03_L003,healthy_control,0.002242405,0.004633125,30memhg19,False40
LP0025_03_L003,healthy_control,0.00334503,0.005033389,30memhg19decoy,FalseDI26830XA
LP0025_03_L003,healthy_control,0.003344231,0.005237795,30memhg19,FalseDI1230XA
LP0025_03_L003,healthy_control,0.00433718,0.004633125,0memhg19decoy,False40
LP0025_03_L003,healthy_control,0.00363915,0.003638808,0memhg19,True40
LP0025_03_L003,healthy_control,0.004043972,0.005442201,30memhg19decoy,FalseDI1230XA
LP0025_03_L003,healthy_control,0.00334503,0.005442201,0memhg19,FalseDI1230XA
LP0025_03_L003,healthy_control,0.003339448,0.003346627,0memhg19decoy,True40
LP0025_03_L003,healthy_control,0.003344231,0.005033389,30memhg19,FalseDI26830XA
LP0025_03_L003,healthy_control,0.002645517,0.004747139,30memhg19,True40
LP0025_03_L003,healthy_control,0.004336725,0.004336725,30memhg19,TrueDI1230XA
LP0025_03_L003,healthy_control,0.004335358,0.004336725,0memhg19,TrueDI26830XA
LP0025_03_L003,healthy_control,0.004042148,0.004046711,0memhg19decoy,TrueDI1230XA
LP0025_03_L003,healthy_control,0.004043972,0.005442201,0memhg19decoy,FalseDI1230XA
LP0025_03_L003,healthy_control,0.002242405,0.004633125,0memhg19,False40
LP0025_03_L003,healthy_control,0.004043972,0.004743029,0memhg19decoy,FalseDI26830XA
LP0025_03_L003,healthy_control,0.004042148,0.004336725,0memhg19,TrueDI1230XA
LP0025_03_L003,healthy_control,0.00363915,0.004633125,30memhg19decoy,False40
LP0025_03_L003,healthy_control,0.004336725,0.004337636,0memhg19decoy,TrueDI26830XA
LP0025_04_L004,healthy_control,0.00195091,0.004633125,0memhg19,FalseDI26830XA
LP0025_04_L004,healthy_control,0.00195091,0.004633125,0memhg19decoy,FalseDI26830XA
LP0025_04_L004,healthy_control,0.001544375,0.003640518,0memhg19decoy,True40
LP0025_04_L004,healthy_control,0.002242975,0.004049453,0memhg19decoy,TrueDI1230XA
LP0025_04_L004,healthy_control,0.00195091,0.004633125,0memhg19decoy,FalseDI1230XA
LP0025_04_L004,healthy_control,0.004042148,0.004339005,0memhg19,False40
LP0025_04_L004,healthy_control,0.00195091,0.004633125,0memhg19,FalseDI1230XA
LP0025_04_L004,healthy_control,0.002242975,0.004633125,0memhg19decoy,TrueDI26830XA
LP0025_04_L004,healthy_control,0.002649625,0.004750225,30memhg19,False40
LP0025_04_L004,healthy_control,0.002242975,0.004049453,30memhg19,TrueDI1230XA
LP0025_04_L004,healthy_control,0.00195091,0.004633125,30memhg19,FalseDI1230XA
LP0025_04_L004,healthy_control,0.002941462,0.003640861,0memhg19decoy,False40
LP0025_04_L004,healthy_control,0.002243318,0.004750225,30memhg19,True40
LP0025_04_L004,healthy_control,0.002942375,0.004050367,0memhg19,True40
LP0025_04_L004,healthy_control,0.002242861,0.003349824,0memhg19,TrueDI1230XA
LP0025_04_L004,healthy_control,0.00195091,0.004633125,30memhg19,FalseDI26830XA
LP0025_04_L004,healthy_control,0.00294169,0.003640861,30memhg19decoy,False40
LP0025_04_L004,healthy_control,0.002243089,0.004633125,30memhg19decoy,FalseDI1230XA
LP0025_04_L004,healthy_control,0.002243089,0.004633125,30memhg19decoy,FalseDI26830XA
LP0025_04_L004,healthy_control,0.002941462,0.004049453,0memhg19,TrueDI26830XA
LP0025_04_L004,healthy_control,0.001950339,0.004051282,30memhg19decoy,True40
LP0025_04_L004,healthy_control,0.002242747,0.004049453,30memhg19decoy,TrueDI1230XA
LP0025_04_L004,healthy_control,0.002096315,0.004633125,30memhg19decoy,TrueDI26830XA
LP0025_04_L004,healthy_control,0.002242975,0.003349824,30memhg19,TrueDI26830XA
LP0025_05_L003,lung_cancer,0.002941006,0.006431386,30memhg19decoy,True40
LP0025_05_L003,lung_cancer,0.003349025,0.004048539,30memhg19decoy,False40
LP0025_05_L003,lung_cancer,0.002646201,0.004747139,30memhg19,True40
LP0025_05_L003,lung_cancer,0.003640861,0.004047625,30memhg19,False40
LP0025_05_L003,lung_cancer,0.002941006,0.004746111,0memhg19decoy,True40
LP0025_05_L003,lung_cancer,0.003349025,0.004747139,0memhg19decoy,False40
LP0025_05_L003,lung_cancer,0.003641203,0.004047625,0memhg19,True40
LP0025_05_L003,lung_cancer,0.003343433,0.004047625,0memhg19,False40
LP0025_05_L003,lung_cancer,0.004040325,0.007524105,0memhg19,FalseDI1230XA
LP0025_05_L003,lung_cancer,0.004040325,0.007524105,0memhg19,FalseDI26830XA
LP0025_05_L003,lung_cancer,0.003341041,0.006828577,30memhg19decoy,TrueDI1230XA
LP0025_05_L003,lung_cancer,0.003639834,0.006825846,30memhg19decoy,FalseDI1230XA
LP0025_05_L003,lung_cancer,0.003640861,0.005442201,30memhg19,TrueDI1230XA
LP0025_05_L003,lung_cancer,0.004040325,0.007522626,30memhg19,FalseDI1230XA
LP0025_05_L003,lung_cancer,0.003341041,0.006131457,0memhg19decoy,TrueDI1230XA
LP0025_05_L003,lung_cancer,0.004040325,0.006435377,0memhg19decoy,FalseDI1230XA
LP0025_05_L003,lung_cancer,0.003639834,0.007525584,0memhg19,TrueDI1230XA
LP0025_05_L003,lung_cancer,0.00294169,0.006824482,0memhg19,TrueDI26830XA
LP0025_05_L003,lung_cancer,0.003341838,0.005731533,30memhg19,TrueDI26830XA
LP0025_05_L003,lung_cancer,0.004040325,0.007521148,30memhg19,FalseDI26830XA
LP0025_05_L003,lung_cancer,0.002242975,0.006828577,30memhg19decoy,TrueDI26830XA
LP0025_05_L003,lung_cancer,0.004048539,0.006825846,30memhg19decoy,FalseDI26830XA
LP0025_05_L003,lung_cancer,0.002941462,0.006827211,0memhg19decoy,TrueDI26830XA
LP0025_05_L003,lung_cancer,0.004633125,0.005737005,0memhg19decoy,FalseDI26830XA
LP0025_06_L003,lung_cancer,0.003343433,0.004338548,0memhg19,FalseDI26830XA
LP0025_06_L003,lung_cancer,0.004049453,0.003640518,0memhg19,True40
LP0025_06_L003,lung_cancer,0.004041236,0.004338548,0memhg19,FalseDI1230XA
LP0025_06_L003,lung_cancer,0.002941918,0.004340832,0memhg19decoy,False40
LP0025_06_L003,lung_cancer,0.004046711,0.003347426,0memhg19,TrueDI1230XA
LP0025_06_L003,lung_cancer,0.004339461,0.003639492,0memhg19,TrueDI26830XA
LP0025_06_L003,lung_cancer,0.003349025,0.002941918,0memhg19,False40
LP0025_06_L003,lung_cancer,0.002942146,0.003349025,0memhg19decoy,True40
LP0025_06_L003,lung_cancer,0.00265031,0.004338548,0memhg19decoy,FalseDI1230XA
LP0025_06_L003,lung_cancer,0.004042148,0.005040231,0memhg19decoy,FalseDI26830XA
LP0025_06_L003,lung_cancer,0.004633125,0.002941462,30memhg19,True40
LP0025_06_L003,lung_cancer,0.003640861,0.002649625,30memhg19,False40
LP0025_06_L003,lung_cancer,0.004047625,0.003349025,0memhg19decoy,TrueDI1230XA
LP0025_06_L003,lung_cancer,0.003639492,0.004340832,0memhg19decoy,TrueDI26830XA
LP0025_06_L003,lung_cancer,0.00363915,0.004340832,30memhg19decoy,TrueDI1230XA
LP0025_06_L003,lung_cancer,0.00404306,0.005040231,30memhg19decoy,FalseDI1230XA
LP0025_06_L003,lung_cancer,0.003343433,0.002941918,30memhg19decoy,True40
LP0025_06_L003,lung_cancer,0.00265031,0.002243089,30memhg19decoy,False40
LP0025_06_L003,lung_cancer,0.002941918,0.004340832,30memhg19,FalseDI1230XA
LP0025_06_L003,lung_cancer,0.002941918,0.004340832,30memhg19,FalseDI26830XA
LP0025_06_L003,lung_cancer,0.00433718,0.003639834,30memhg19,TrueDI1230XA
LP0025_06_L003,lung_cancer,0.003343433,0.003639492,30memhg19,TrueDI26830XA
