,genome,setting,clf_name,fold,accuracy,f1,auc
169,30memhg19decoy,FalseDI1230XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
170,30memhg19decoy,True40,LR,0,0.7142857142857143,0.6666666666666666,0.75
171,30memhg19decoy,True40,LR,1,0.7142857142857143,0.6666666666666666,0.75
172,30memhg19decoy,True40,LR,2,0.5,0.4,0.625
173,30memhg19decoy,True40,LR,3,1,1,1
174,30memhg19decoy,True40,LR,4,0.6666666666666666,0.75,0.625
175,30memhg19decoy,TrueDI1230XA,LR,0,0.8571428571428571,0.8571428571428571,0.875
176,30memhg19decoy,TrueDI1230XA,LR,1,0.7142857142857143,0.6666666666666666,0.75
177,30memhg19decoy,TrueDI1230XA,LR,2,0.8333333333333334,0.8571428571428571,0.875
178,30memhg19decoy,TrueDI1230XA,LR,3,1,1,1
179,30memhg19decoy,TrueDI1230XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
180,0memhg38noalt,False40,LR,0,0.7142857142857143,0.6666666666666666,0.75
181,0memhg38noalt,False40,LR,1,0.7142857142857143,0.6666666666666666,0.75
182,0memhg38noalt,False40,LR,2,0.5,0.4,0.625
183,0memhg38noalt,False40,LR,3,0.8333333333333334,0.8571428571428571,0.875
184,0memhg38noalt,False40,LR,4,0.6666666666666666,0.75,0.625
185,0memhg38noalt,FalseDI26830XA,LR,0,0.7142857142857143,0.6666666666666666,0.75
186,0memhg38noalt,FalseDI26830XA,LR,1,0.7142857142857143,0.6666666666666666,0.75
187,0memhg38noalt,FalseDI26830XA,LR,2,0.5,0.4,0.625
188,0memhg38noalt,FalseDI26830XA,LR,3,1,1,1
189,0memhg38noalt,FalseDI26830XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
190,0memhg38noalt,TrueDI26830XA,LR,0,0.7142857142857143,0.6666666666666666,0.75
191,0memhg38noalt,TrueDI26830XA,LR,1,0.7142857142857143,0.6666666666666666,0.75
192,0memhg38noalt,TrueDI26830XA,LR,2,0.6666666666666666,0.6666666666666666,0.75
193,0memhg38noalt,TrueDI26830XA,LR,3,1,1,1
194,0memhg38noalt,TrueDI26830XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
195,0memhg38noalt,FalseDI1230XA,LR,0,0.7142857142857143,0.6666666666666666,0.75
196,0memhg38noalt,FalseDI1230XA,LR,1,0.5714285714285714,0.5714285714285715,0.5833333333333334
197,0memhg38noalt,FalseDI1230XA,LR,2,0.5,0.4,0.625
198,0memhg38noalt,FalseDI1230XA,LR,3,1,1,1
199,0memhg38noalt,FalseDI1230XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
200,0memhg38noalt,True40,LR,0,0.7142857142857143,0.6666666666666666,0.75
201,0memhg38noalt,True40,LR,1,0.7142857142857143,0.6666666666666666,0.75
202,0memhg38noalt,True40,LR,2,0.5,0.4,0.625
203,0memhg38noalt,True40,LR,3,0.8333333333333334,0.8571428571428571,0.875
204,0memhg38noalt,True40,LR,4,0.6666666666666666,0.75,0.625
205,0memhg38noalt,TrueDI1230XA,LR,0,0.7142857142857143,0.6666666666666666,0.75
206,0memhg38noalt,TrueDI1230XA,LR,1,0.7142857142857143,0.6666666666666666,0.75
207,0memhg38noalt,TrueDI1230XA,LR,2,0.6666666666666666,0.6666666666666666,0.75
208,0memhg38noalt,TrueDI1230XA,LR,3,0.8333333333333334,0.8571428571428571,0.875
209,0memhg38noalt,TrueDI1230XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
210,30memhg38noalt,False40,LR,0,0.7142857142857143,0.6666666666666666,0.75
211,30memhg38noalt,False40,LR,1,0.7142857142857143,0.6666666666666666,0.75
212,30memhg38noalt,False40,LR,2,0.5,0.4,0.625
213,30memhg38noalt,False40,LR,3,1,1,1
214,30memhg38noalt,False40,LR,4,0.8333333333333334,0.8571428571428571,0.875
215,30memhg38noalt,FalseDI26830XA,LR,0,0.7142857142857143,0.6666666666666666,0.75
216,30memhg38noalt,FalseDI26830XA,LR,1,0.7142857142857143,0.6666666666666666,0.75
217,30memhg38noalt,FalseDI26830XA,LR,2,0.8333333333333334,0.8571428571428571,0.875
218,30memhg38noalt,FalseDI26830XA,LR,3,1,1,1
219,30memhg38noalt,FalseDI26830XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
220,30memhg38noalt,TrueDI26830XA,LR,0,0.7142857142857143,0.6666666666666666,0.75
221,30memhg38noalt,TrueDI26830XA,LR,1,0.7142857142857143,0.6666666666666666,0.75
222,30memhg38noalt,TrueDI26830XA,LR,2,0.5,0.4,0.625
223,30memhg38noalt,TrueDI26830XA,LR,3,1,1,1
224,30memhg38noalt,TrueDI26830XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
225,30memhg38noalt,FalseDI1230XA,LR,0,0.5714285714285714,0.4,0.625
226,30memhg38noalt,FalseDI1230XA,LR,1,0.7142857142857143,0.6666666666666666,0.75
227,30memhg38noalt,FalseDI1230XA,LR,2,1,1,1
228,30memhg38noalt,FalseDI1230XA,LR,3,1,1,1
229,30memhg38noalt,FalseDI1230XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
230,30memhg38noalt,True40,LR,0,0.7142857142857143,0.6666666666666666,0.75
231,30memhg38noalt,True40,LR,1,0.8571428571428571,0.8571428571428571,0.875
232,30memhg38noalt,True40,LR,2,0.8333333333333334,0.8571428571428571,0.875
233,30memhg38noalt,True40,LR,3,1,1,1
234,30memhg38noalt,True40,LR,4,0.8333333333333334,0.8571428571428571,0.875
235,30memhg38noalt,TrueDI1230XA,LR,0,0.7142857142857143,0.6666666666666666,0.75
236,30memhg38noalt,TrueDI1230XA,LR,1,0.7142857142857143,0.6666666666666666,0.75
237,30memhg38noalt,TrueDI1230XA,LR,2,0.8333333333333334,0.8571428571428571,0.875
238,30memhg38noalt,TrueDI1230XA,LR,3,1,1,1
239,30memhg38noalt,TrueDI1230XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
