sample	tumor_fraction
	sample_id
LP0029_05_L004	0.004122	0memhg19decoy-False40
LP0029_06_L003	0.006676	0memhg19decoy-False40
LP0030_03_L004	0.007329	0memhg19decoy-False40
LP0030_05_L004	0.006584	0memhg19decoy-False40
LP0020_01	0.004195	0memhg19decoy-FalseDI26830XA
LP0020_02	0.01076	0memhg19decoy-FalseDI26830XA
LP0020_03	0.01155	0memhg19decoy-FalseDI26830XA
LP0020_04	0.02259	0memhg19decoy-FalseDI26830XA
LP0020_05	0.009484	0memhg19decoy-FalseDI26830XA
LP0020_06	0.009542	0memhg19decoy-FalseDI26830XA
LP0020_07	0.01546	0memhg19decoy-FalseDI26830XA
LP0020_08	0.0198	0memhg19decoy-FalseDI26830XA
LP0025_01_L004	0.0038	0memhg19decoy-FalseDI26830XA
LP0025_02_L004	0.0177	0memhg19decoy-FalseDI26830XA
LP0025_03_L003	0.003479	0memhg19decoy-FalseDI26830XA
LP0025_04_L004	0.003147	0memhg19decoy-FalseDI26830XA
LP0025_05_L003	0.008466	0memhg19decoy-FalseDI26830XA
LP0025_06_L003	0	0memhg19decoy-FalseDI26830XA
LP0025_07_L004	0.01133	0memhg19decoy-FalseDI26830XA
LP0025_08_L004	0.003046	0memhg19decoy-FalseDI26830XA
LP0025_10_L003	0.009369	0memhg19decoy-FalseDI26830XA
LP0025_11_L003	0.0127	0memhg19decoy-FalseDI26830XA
LP0025_12_L003	0.01761	0memhg19decoy-FalseDI26830XA
LP0025_15_L003	0.07472	0memhg19decoy-FalseDI26830XA
LP0025_17_L003	0.0309	0memhg19decoy-FalseDI26830XA
LP0025_21_L004	0.1372	0memhg19decoy-FalseDI26830XA
LP0025_24_L003	0.008627	0memhg19decoy-FalseDI26830XA
LP0026_05_L003	0.023	0memhg19decoy-FalseDI26830XA
LP0026_07_L003	0.01087	0memhg19decoy-FalseDI26830XA
LP0026_08_L003	0.2469	0memhg19decoy-FalseDI26830XA
LP0026_22_L003	0.2257	0memhg19decoy-FalseDI26830XA
LP0026_26_L004	0.4416	0memhg19decoy-FalseDI26830XA
LP0026_38_L004	0.1583	0memhg19decoy-FalseDI26830XA
LP0026_42_L004	0.1327	0memhg19decoy-FalseDI26830XA
LP0027_26_L003	0.1169	0memhg19decoy-FalseDI26830XA
LP0027_35_L003	0.1686	0memhg19decoy-FalseDI26830XA
LP0027_39_L003	0.137	0memhg19decoy-FalseDI26830XA
LP0028_01_L004	0.1034	0memhg19decoy-FalseDI26830XA
LP0029_02_L004	0.008864	0memhg19decoy-FalseDI26830XA
LP0029_04_L003	0.01499	0memhg19decoy-FalseDI26830XA
LP0029_05_L004	0.003197	0memhg19decoy-FalseDI26830XA
LP0029_06_L003	0.00579	0memhg19decoy-FalseDI26830XA
LP0030_03_L004	0.007988	0memhg19decoy-FalseDI26830XA
LP0030_05_L004	0.009714	0memhg19decoy-FalseDI26830XA
LP0020_01	0.009296	0memhg19decoy-True40
LP0020_02	0.01611	0memhg19decoy-True40
LP0020_03	0.01339	0memhg19decoy-True40
LP0020_04	0.01574	0memhg19decoy-True40
LP0020_05	0.01261	0memhg19decoy-True40
LP0020_06	0.01368	0memhg19decoy-True40
LP0020_07	0.01209	0memhg19decoy-True40
LP0020_08	0.01418	0memhg19decoy-True40
LP0025_01_L004	0.003603	0memhg19decoy-True40
LP0025_02_L004	0.01548	0memhg19decoy-True40
LP0025_03_L003	0.006545	0memhg19decoy-True40
LP0025_04_L004	0.003144	0memhg19decoy-True40
LP0025_05_L003	0.008568	0memhg19decoy-True40
LP0025_06_L003	0.007668	0memhg19decoy-True40
LP0025_07_L004	0.0113	0memhg19decoy-True40
LP0025_08_L004	0.002759	0memhg19decoy-True40
LP0025_10_L003	0.00922	0memhg19decoy-True40
LP0025_11_L003	0.01193	0memhg19decoy-True40
LP0025_12_L003	0.01551	0memhg19decoy-True40
LP0025_15_L003	0.07324	0memhg19decoy-True40
LP0025_17_L003	0.03357	0memhg19decoy-True40
LP0025_21_L004	0.1102	0memhg19decoy-True40
LP0025_24_L003	0.0111	0memhg19decoy-True40
LP0026_05_L003	0.02523	0memhg19decoy-True40
LP0026_07_L003	0.01383	0memhg19decoy-True40
LP0026_08_L003	0.2469	0memhg19decoy-True40
LP0026_22_L003	0.2258	0memhg19decoy-True40
LP0026_26_L004	0.4413	0memhg19decoy-True40
LP0026_38_L004	0.1552	0memhg19decoy-True40
LP0026_42_L004	0.1312	0memhg19decoy-True40
