sample	tumor_fraction
	sample_id
LP0025_11_L003	0.02081	0memhg19decoy-FalseDI26830XA
LP0025_12_L003	0.03272	0memhg19decoy-FalseDI26830XA
LP0025_15_L003	0.1299	0memhg19decoy-FalseDI26830XA
LP0025_17_L003	0.06873	0memhg19decoy-FalseDI26830XA
LP0025_21_L004	0.2254	0memhg19decoy-FalseDI26830XA
LP0025_24_L003	0.01199	0memhg19decoy-FalseDI26830XA
LP0026_05_L003	0.02474	0memhg19decoy-FalseDI26830XA
LP0026_07_L003	0.05713	0memhg19decoy-FalseDI26830XA
LP0026_08_L003	0.3442	0memhg19decoy-FalseDI26830XA
LP0026_22_L003	0.4443	0memhg19decoy-FalseDI26830XA
LP0026_26_L004	0.6459	0memhg19decoy-FalseDI26830XA
LP0026_38_L004	0.2541	0memhg19decoy-FalseDI26830XA
LP0026_42_L004	0.1205	0memhg19decoy-FalseDI26830XA
LP0027_26_L003	0.1225	0memhg19decoy-FalseDI26830XA
LP0027_35_L003	0.2386	0memhg19decoy-FalseDI26830XA
LP0027_39_L003	0.1617	0memhg19decoy-FalseDI26830XA
LP0028_01_L004	0.2715	0memhg19decoy-FalseDI26830XA
LP0029_02_L004	0.01074	0memhg19decoy-FalseDI26830XA
LP0029_04_L003	0.01661	0memhg19decoy-FalseDI26830XA
LP0029_05_L004	0.01287	0memhg19decoy-FalseDI26830XA
LP0029_06_L003	0	0memhg19decoy-FalseDI26830XA
LP0030_03_L004	0.006852	0memhg19decoy-FalseDI26830XA
LP0030_05_L004	0.007381	0memhg19decoy-FalseDI26830XA
LP0020_01	0.02339	0memhg19decoy-True40
LP0020_02	0.02588	0memhg19decoy-True40
LP0020_03	0.02637	0memhg19decoy-True40
LP0020_04	0	0memhg19decoy-True40
LP0020_05	0.02133	0memhg19decoy-True40
LP0020_06	0.02462	0memhg19decoy-True40
LP0020_07	0.0152	0memhg19decoy-True40
LP0020_08	0	0memhg19decoy-True40
LP0025_01_L004	0.003121	0memhg19decoy-True40
LP0025_02_L004	0.01477	0memhg19decoy-True40
LP0025_03_L003	0.005489	0memhg19decoy-True40
LP0025_04_L004	0.003614	0memhg19decoy-True40
LP0025_05_L003	0.01826	0memhg19decoy-True40
LP0025_06_L003	0.01204	0memhg19decoy-True40
LP0025_07_L004	0.006068	0memhg19decoy-True40
LP0025_08_L004	0.003164	0memhg19decoy-True40
LP0025_10_L003	0.006322	0memhg19decoy-True40
LP0025_11_L003	0.01962	0memhg19decoy-True40
LP0025_12_L003	0.03136	0memhg19decoy-True40
LP0025_15_L003	0.1288	0memhg19decoy-True40
LP0025_17_L003	0.06842	0memhg19decoy-True40
LP0025_21_L004	0.1902	0memhg19decoy-True40
LP0025_24_L003	0.006352	0memhg19decoy-True40
LP0026_05_L003	0.02606	0memhg19decoy-True40
LP0026_07_L003	0.02662	0memhg19decoy-True40
LP0026_08_L003	0.3423	0memhg19decoy-True40
LP0026_22_L003	0.4437	0memhg19decoy-True40
LP0026_26_L004	0.6449	0memhg19decoy-True40
LP0026_38_L004	0.2538	0memhg19decoy-True40
LP0026_42_L004	0.1193	0memhg19decoy-True40
LP0027_26_L003	0.1239	0memhg19decoy-True40
LP0027_35_L003	0.2384	0memhg19decoy-True40
LP0027_39_L003	0.1515	0memhg19decoy-True40
LP0028_01_L004	0.2697	0memhg19decoy-True40
LP0029_02_L004	0.008069	0memhg19decoy-True40
LP0029_04_L003	0.01422	0memhg19decoy-True40
LP0029_05_L004	0.00997	0memhg19decoy-True40
LP0029_06_L003	0	0memhg19decoy-True40
LP0030_03_L004	0.006274	0memhg19decoy-True40
LP0030_05_L004	0.006879	0memhg19decoy-True40
LP0020_01	0.01674	0memhg19decoy-TrueDI26830XA
LP0020_02	0.03069	0memhg19decoy-TrueDI26830XA
LP0020_03	0.03952	0memhg19decoy-TrueDI26830XA
LP0020_04	0	0memhg19decoy-TrueDI26830XA
LP0020_05	0.03202	0memhg19decoy-TrueDI26830XA
LP0020_06	0.0332	0memhg19decoy-TrueDI26830XA
LP0020_07	0.01121	0memhg19decoy-TrueDI26830XA
LP0020_08	0.02565	0memhg19decoy-TrueDI26830XA
LP0025_01_L004	0.003188	0memhg19decoy-TrueDI26830XA
LP0025_02_L004	0.01437	0memhg19decoy-TrueDI26830XA
LP0025_03_L003	0.005147	0memhg19decoy-TrueDI26830XA
LP0025_04_L004	0.003993	0memhg19decoy-TrueDI26830XA
LP0025_05_L003	0.01738	0memhg19decoy-TrueDI26830XA
