settings_verbose,genome,trimming,gc_bias,rule,s,csum,groups,coloring
Lenient,hg38noalt,Untrimmed,GC bias corrected,sortByCoord,595.53746,46955.28490647059,Lenient_hg38noalt_Untrimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38noalt,Untrimmed,GC bias not corrected,trim,953.9491264705882,953.9491264705882,Lenient_hg38noalt_Untrimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg38noalt,Untrimmed,GC bias not corrected,bwaMem,33193.4461025,34147.395228970585,Lenient_hg38noalt_Untrimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg38noalt,Untrimmed,GC bias not corrected,filterBams,2218.897675,36366.292903970585,Lenient_hg38noalt_Untrimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg38noalt,Untrimmed,GC bias not corrected,sortByCoord,1026.1090225,37392.401926470586,Lenient_hg38noalt_Untrimmed_GC bias not corrected,Lenient_GC bias not corrected
Strict,hg19,Trimmed,GC bias corrected,trim,2264.62211,2264.62211,Strict_hg19_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19,Trimmed,GC bias corrected,bwaMem,29737.46331,32002.08542,Strict_hg19_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19,Trimmed,GC bias corrected,filterBams,2447.6871225,34449.772542499995,Strict_hg19_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19,Trimmed,GC bias corrected,CorrectGCBias,7176.62405,41626.3965925,Strict_hg19_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19,Trimmed,GC bias corrected,sortByCoord,984.8544775,42611.25107,Strict_hg19_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19,Trimmed,GC bias not corrected,trim,2264.62211,2264.62211,Strict_hg19_Trimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg19,Trimmed,GC bias not corrected,bwaMem,29737.46331,32002.08542,Strict_hg19_Trimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg19,Trimmed,GC bias not corrected,filterBams,2177.5502025,34179.6356225,Strict_hg19_Trimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg19,Trimmed,GC bias not corrected,sortByCoord,938.05396,35117.689582499996,Strict_hg19_Trimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg19,Untrimmed,GC bias corrected,trim,2479.494905,2479.494905,Strict_hg19_Untrimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19,Untrimmed,GC bias corrected,bwaMem,31625.1143725,34104.6092775,Strict_hg19_Untrimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19,Untrimmed,GC bias corrected,filterBams,3427.45886,37532.0681375,Strict_hg19_Untrimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19,Untrimmed,GC bias corrected,CorrectGCBias,7097.73432,44629.8024575,Strict_hg19_Untrimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19,Untrimmed,GC bias corrected,sortByCoord,1046.09602,45675.8984775,Strict_hg19_Untrimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19,Untrimmed,GC bias not corrected,trim,2479.494905,2479.494905,Strict_hg19_Untrimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg19,Untrimmed,GC bias not corrected,bwaMem,31625.1143725,34104.6092775,Strict_hg19_Untrimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg19,Untrimmed,GC bias not corrected,filterBams,1972.544405,36077.1536825,Strict_hg19_Untrimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg19,Untrimmed,GC bias not corrected,sortByCoord,980.8810025,37058.034685,Strict_hg19_Untrimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg19decoy,Trimmed,GC bias corrected,trim,1748.029735,1748.029735,Strict_hg19decoy_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19decoy,Trimmed,GC bias corrected,bwaMem,29769.6163425,31517.6460775,Strict_hg19decoy_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19decoy,Trimmed,GC bias corrected,filterBams,1799.22797,33316.8740475,Strict_hg19decoy_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19decoy,Trimmed,GC bias corrected,CorrectGCBias,6592.6821875,39909.556235000004,Strict_hg19decoy_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19decoy,Trimmed,GC bias corrected,sortByCoord,1085.2454500000001,40994.801685,Strict_hg19decoy_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19decoy,Trimmed,GC bias not corrected,trim,1748.029735,1748.029735,Strict_hg19decoy_Trimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg19decoy,Trimmed,GC bias not corrected,bwaMem,29769.6163425,31517.6460775,Strict_hg19decoy_Trimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg19decoy,Trimmed,GC bias not corrected,filterBams,1573.65496,33091.3010375,Strict_hg19decoy_Trimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg19decoy,Trimmed,GC bias not corrected,sortByCoord,956.8240225,34048.12506,Strict_hg19decoy_Trimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg19decoy,Untrimmed,GC bias corrected,trim,2133.1387825,2133.1387825,Strict_hg19decoy_Untrimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19decoy,Untrimmed,GC bias corrected,bwaMem,32533.506980000002,34666.645762500004,Strict_hg19decoy_Untrimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19decoy,Untrimmed,GC bias corrected,filterBams,1566.06935,36232.7151125,Strict_hg19decoy_Untrimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19decoy,Untrimmed,GC bias corrected,CorrectGCBias,5233.7680125,41466.483125,Strict_hg19decoy_Untrimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19decoy,Untrimmed,GC bias corrected,sortByCoord,1078.1594125,42544.6425375,Strict_hg19decoy_Untrimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg19decoy,Untrimmed,GC bias not corrected,trim,2133.1387825,2133.1387825,Strict_hg19decoy_Untrimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg19decoy,Untrimmed,GC bias not corrected,bwaMem,32533.506980000002,34666.645762500004,Strict_hg19decoy_Untrimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg19decoy,Untrimmed,GC bias not corrected,filterBams,1594.318825,36260.9645875,Strict_hg19decoy_Untrimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg19decoy,Untrimmed,GC bias not corrected,sortByCoord,998.34239,37259.306977500004,Strict_hg19decoy_Untrimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg38,Trimmed,GC bias corrected,trim,3889.2228638888887,3889.2228638888887,Strict_hg38_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg38,Trimmed,GC bias corrected,bwaMem,32966.84925128205,36856.072115170944,Strict_hg38_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg38,Trimmed,GC bias corrected,filterBams,1827.318305,38683.39042017094,Strict_hg38_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg38,Trimmed,GC bias corrected,CorrectGCBias,7099.1368325,45782.52725267094,Strict_hg38_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg38,Trimmed,GC bias corrected,sortByCoord,543.923915,46326.451167670944,Strict_hg38_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg38,Trimmed,GC bias not corrected,trim,3507.1894625,3507.1894625,Strict_hg38_Trimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg38,Trimmed,GC bias not corrected,bwaMem,32167.7994875,35674.98895,Strict_hg38_Trimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg38,Trimmed,GC bias not corrected,filterBams,735.155355,36410.144305,Strict_hg38_Trimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg38,Trimmed,GC bias not corrected,sortByCoord,511.050745,36921.19505,Strict_hg38_Trimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg38,Untrimmed,GC bias corrected,trim,3779.514545,3779.514545,Strict_hg38_Untrimmed_GC bias corrected,Strict_GC bias corrected
