sampleID	FrEIA_score	ref_genome	settings
LP0028_01_L004	6.51189798584231	0memhg19	FalseDI26830XA
LP0029_02_L004	4.270464384496129	0memhg19	FalseDI26830XA
LP0029_04_L003	6.822608817529246	0memhg19	FalseDI26830XA
LP0029_05_L004	5.034785333754052	0memhg19	FalseDI26830XA
LP0029_06_L003	6.103757489129967	0memhg19	FalseDI26830XA
LP0030_03_L004	5.110935278015703	0memhg19	FalseDI26830XA
LP0030_05_L004	5.000776012170395	0memhg19	FalseDI26830XA
LP0020_01	0.6102679202855045	0memhg19	True40
LP0020_02	1.1078340395699446	0memhg19	True40
LP0020_03	0.9172712377957909	0memhg19	True40
LP0020_04	0.8643160562773519	0memhg19	True40
LP0020_05	0.8192185830494768	0memhg19	True40
LP0020_06	1.9942799246911365	0memhg19	True40
LP0020_07	0.6986332123675401	0memhg19	True40
LP0020_08	1.1578843199325994	0memhg19	True40
LP0025_01_L004	3.3523887762605327	0memhg19	True40
LP0025_02_L004	1.6494268017303144	0memhg19	True40
LP0025_03_L003	3.236168443759451	0memhg19	True40
LP0025_04_L004	1.643556933997408	0memhg19	True40
LP0025_05_L003	2.8195667694483353	0memhg19	True40
LP0025_06_L003	5.2204527865051675	0memhg19	True40
LP0025_07_L004	5.115035133569218	0memhg19	True40
LP0025_08_L004	1.4398262675240752	0memhg19	True40
LP0025_10_L003	5.050424674544679	0memhg19	True40
LP0025_11_L003	8.287388045041432	0memhg19	True40
LP0025_12_L003	5.94971399028468	0memhg19	True40
LP0025_15_L003	7.063164611095346	0memhg19	True40
LP0025_17_L003	5.038584832423238	0memhg19	True40
LP0025_21_L004	5.889310355545094	0memhg19	True40
LP0025_24_L003	4.331792171905928	0memhg19	True40
LP0026_05_L003	4.824726995235203	0memhg19	True40
LP0026_07_L003	3.770663883457706	0memhg19	True40
LP0026_08_L003	4.718365243271323	0memhg19	True40
LP0026_22_L003	4.816365841401465	0memhg19	True40
LP0026_26_L004	5.0462894920752	0memhg19	True40
LP0026_38_L004	5.271083427556289	0memhg19	True40
LP0026_42_L004	4.886948542783011	0memhg19	True40
LP0027_26_L003	5.224863822226746	0memhg19	True40
LP0027_35_L003	4.00127499344823	0memhg19	True40
LP0027_39_L003	3.4810598874654683	0memhg19	True40
LP0028_01_L004	5.912443313796356	0memhg19	True40
LP0029_02_L004	3.867454638441693	0memhg19	True40
LP0029_04_L003	5.2386410713421165	0memhg19	True40
LP0029_05_L004	4.358442148867748	0memhg19	True40
LP0029_06_L003	5.288841761218612	0memhg19	True40
LP0030_03_L004	4.496029630124253	0memhg19	True40
LP0030_05_L004	4.2560153706692665	0memhg19	True40
LP0020_01	0.6361453494312581	0memhg19	TrueDI26830XA
LP0020_02	1.0354339095854066	0memhg19	TrueDI26830XA
LP0020_03	1.085915437431915	0memhg19	TrueDI26830XA
LP0020_04	1.0407534775936242	0memhg19	TrueDI26830XA
LP0020_05	0.6436363883523653	0memhg19	TrueDI26830XA
LP0020_06	1.8848555981984214	0memhg19	TrueDI26830XA
LP0020_07	0.6753409514085493	0memhg19	TrueDI26830XA
LP0020_08	1.0207556148981174	0memhg19	TrueDI26830XA
LP0025_01_L004	3.5007406078120136	0memhg19	TrueDI26830XA
LP0025_02_L004	1.6260384439604454	0memhg19	TrueDI26830XA
LP0025_03_L003	3.57339674047225	0memhg19	TrueDI26830XA
LP0025_04_L004	1.4989983241725522	0memhg19	TrueDI26830XA
LP0025_05_L003	2.8114199330155207	0memhg19	TrueDI26830XA
LP0025_06_L003	7.507780139316688	0memhg19	TrueDI26830XA
LP0025_07_L004	5.553062338743176	0memhg19	TrueDI26830XA
LP0025_08_L004	1.4716487953245605	0memhg19	TrueDI26830XA
LP0025_10_L003	5.103697297940229	0memhg19	TrueDI26830XA
LP0025_11_L003	10.536968941475672	0memhg19	TrueDI26830XA
LP0025_12_L003	7.21431522472096	0memhg19	TrueDI26830XA
LP0025_15_L003	8.042145559662513	0memhg19	TrueDI26830XA
LP0025_17_L003	6.301010948114497	0memhg19	TrueDI26830XA
LP0025_21_L004	7.849885437155065	0memhg19	TrueDI26830XA
LP0025_24_L003	5.420820802886544	0memhg19	TrueDI26830XA
LP0026_05_L003	5.862400092224915	0memhg19	TrueDI26830XA
LP0026_07_L003	4.166316743178558	0memhg19	TrueDI26830XA
LP0026_08_L003	4.869595458616775	0memhg19	TrueDI26830XA
LP0026_22_L003	5.028388901031686	0memhg19	TrueDI26830XA
LP0026_26_L004	5.131185352245524	0memhg19	TrueDI26830XA
LP0026_38_L004	6.268660997983131	0memhg19	TrueDI26830XA
LP0026_42_L004	5.290683503741862	0memhg19	TrueDI26830XA
LP0027_26_L003	5.619478317362675	0memhg19	TrueDI26830XA
LP0027_35_L003	4.042856939633095	0memhg19	TrueDI26830XA
LP0027_39_L003	3.6530661763039602	0memhg19	TrueDI26830XA
LP0028_01_L004	6.5964479590994065	0memhg19	TrueDI26830XA
LP0029_02_L004	4.3225793757606885	0memhg19	TrueDI26830XA
LP0029_04_L003	6.879679766658248	0memhg19	TrueDI26830XA
LP0029_05_L004	5.278983044304838	0memhg19	TrueDI26830XA
LP0029_06_L003	6.139354489781936	0memhg19	TrueDI26830XA
LP0030_03_L004	5.209623875194544	0memhg19	TrueDI26830XA
LP0030_05_L004	5.087067272399412	0memhg19	TrueDI26830XA
LP0020_01	0.7399347536708273	0memhg19decoy	False40
LP0020_02	0.9348949312308178	0memhg19decoy	False40
LP0020_03	1.3073081943002371	0memhg19decoy	False40
LP0020_04	1.271464014222474	0memhg19decoy	False40
LP0020_05	0.656286222912572	0memhg19decoy	False40
LP0020_06	1.759198735936287	0memhg19decoy	False40
LP0020_07	0.7131355966201066	0memhg19decoy	False40
LP0020_08	0.8157779801785605	0memhg19decoy	False40
LP0025_01_L004	3.4937259576787434	0memhg19decoy	False40
LP0025_02_L004	1.5934999777302665	0memhg19decoy	False40
