sampleID	Tumor.Fraction	ref_genome	settings
LP0025_15_L003	0.0868	0memhg19decoy	False40
LP0025_17_L003	0.01915	0memhg19decoy	False40
LP0025_21_L004	0.1099	0memhg19decoy	False40
LP0025_24_L003	0.01274	0memhg19decoy	False40
LP0026_05_L003	0.02868	0memhg19decoy	False40
LP0026_07_L003	0	0memhg19decoy	False40
LP0026_08_L003	0.2776	0memhg19decoy	False40
LP0026_22_L003	0.2209	0memhg19decoy	False40
LP0026_26_L004	0.4495	0memhg19decoy	False40
LP0026_38_L004	0.1547	0memhg19decoy	False40
LP0026_42_L004	0.1548	0memhg19decoy	False40
LP0027_26_L003	0.1383	0memhg19decoy	False40
LP0027_35_L003	0.1606	0memhg19decoy	False40
LP0027_39_L003	0.1511	0memhg19decoy	False40
LP0028_01_L004	0.1077	0memhg19decoy	False40
LP0029_02_L004	0	0memhg19decoy	False40
LP0029_04_L003	0.01502	0memhg19decoy	False40
LP0029_05_L004	0.008077	0memhg19decoy	False40
LP0029_06_L003	0.00947	0memhg19decoy	False40
LP0030_03_L004	0.0136	0memhg19decoy	False40
LP0030_05_L004	0.02131	0memhg19decoy	False40
LP0020_01	0.01101	0memhg19decoy	FalseDI26830XA
LP0020_02	0.01564	0memhg19decoy	FalseDI26830XA
LP0020_03	0.01468	0memhg19decoy	FalseDI26830XA
LP0020_04	0	0memhg19decoy	FalseDI26830XA
LP0020_05	0.01033	0memhg19decoy	FalseDI26830XA
LP0020_06	0.01601	0memhg19decoy	FalseDI26830XA
LP0020_07	0.01452	0memhg19decoy	FalseDI26830XA
LP0020_08	0.01588	0memhg19decoy	FalseDI26830XA
LP0025_01_L004	0	0memhg19decoy	FalseDI26830XA
LP0025_02_L004	0.01385	0memhg19decoy	FalseDI26830XA
LP0025_03_L003	0.01299	0memhg19decoy	FalseDI26830XA
LP0025_04_L004	0	0memhg19decoy	FalseDI26830XA
LP0025_05_L003	0	0memhg19decoy	FalseDI26830XA
LP0025_06_L003	0.0178	0memhg19decoy	FalseDI26830XA
LP0025_07_L004	0.01152	0memhg19decoy	FalseDI26830XA
LP0025_08_L004	0.01766	0memhg19decoy	FalseDI26830XA
LP0025_10_L003	0.8367	0memhg19decoy	FalseDI26830XA
LP0025_11_L003	0.01965	0memhg19decoy	FalseDI26830XA
LP0025_12_L003	0.01178	0memhg19decoy	FalseDI26830XA
LP0025_15_L003	0.08574	0memhg19decoy	FalseDI26830XA
LP0025_17_L003	0.01948	0memhg19decoy	FalseDI26830XA
LP0025_21_L004	0.1092	0memhg19decoy	FalseDI26830XA
LP0025_24_L003	0.0169	0memhg19decoy	FalseDI26830XA
LP0026_05_L003	0.02711	0memhg19decoy	FalseDI26830XA
LP0026_07_L003	0.007148	0memhg19decoy	FalseDI26830XA
LP0026_08_L003	0.2817	0memhg19decoy	FalseDI26830XA
LP0026_22_L003	0.2221	0memhg19decoy	FalseDI26830XA
LP0026_26_L004	0.4497	0memhg19decoy	FalseDI26830XA
LP0026_38_L004	0.1556	0memhg19decoy	FalseDI26830XA
LP0026_42_L004	0.1583	0memhg19decoy	FalseDI26830XA
LP0027_26_L003	0.1367	0memhg19decoy	FalseDI26830XA
LP0027_35_L003	0.1604	0memhg19decoy	FalseDI26830XA
LP0027_39_L003	0.1553	0memhg19decoy	FalseDI26830XA
LP0028_01_L004	0.1111	0memhg19decoy	FalseDI26830XA
LP0029_02_L004	0.007797	0memhg19decoy	FalseDI26830XA
LP0029_04_L003	0.01459	0memhg19decoy	FalseDI26830XA
LP0029_05_L004	0.006567	0memhg19decoy	FalseDI26830XA
LP0029_06_L003	0.01057	0memhg19decoy	FalseDI26830XA
LP0030_03_L004	0.01511	0memhg19decoy	FalseDI26830XA
LP0030_05_L004	0.02041	0memhg19decoy	FalseDI26830XA
LP0020_01	0.01105	0memhg19decoy	True40
LP0020_02	0.01964	0memhg19decoy	True40
LP0020_03	0.01172	0memhg19decoy	True40
LP0020_04	0.01735	0memhg19decoy	True40
LP0020_05	0.01833	0memhg19decoy	True40
LP0020_06	0.01545	0memhg19decoy	True40
LP0020_07	0.02521	0memhg19decoy	True40
