sampleID	tMAD_vs_control	ref_genome	settings
LP0029_04_L003	0.0106113762516865	0memhg19	TrueDI26830XA
LP0029_05_L004	0.0117725371007534	0memhg19	TrueDI26830XA
LP0029_06_L003	0.0109986911671637	0memhg19	TrueDI26830XA
LP0030_03_L004	0.00894834386176673	0memhg19	TrueDI26830XA
LP0030_05_L004	0.00683130919346207	0memhg19	TrueDI26830XA
LP0025_05_L003	0.00895692968076445	0memhg19	TrueDI26830XA
LP0025_06_L003	0.0102260388023768	0memhg19	TrueDI26830XA
LP0025_10_L003	0.0359483965935537	0memhg19	TrueDI26830XA
LP0025_11_L003	0.00991050413695103	0memhg19	TrueDI26830XA
LP0025_12_L003	0.0148134587541947	0memhg19	TrueDI26830XA
LP0025_15_L003	0.031361556709744	0memhg19	TrueDI26830XA
LP0025_17_L003	0.013434180528412	0memhg19	TrueDI26830XA
LP0025_21_L004	0.0671681113043793	0memhg19	TrueDI26830XA
LP0025_24_L003	0.00772187499999998	0memhg19	TrueDI26830XA
LP0026_05_L003	0.020076875	0memhg19	TrueDI26830XA
LP0026_07_L003	0.00952492580205394	0memhg19	TrueDI26830XA
LP0026_08_L003	0.170795482909829	0memhg19	TrueDI26830XA
LP0026_22_L003	0.0180795046648039	0memhg19	TrueDI26830XA
LP0026_26_L004	0.0616118157418053	0memhg19	TrueDI26830XA
LP0026_38_L004	0.0677915190304021	0memhg19	TrueDI26830XA
LP0026_42_L004	0.112836181032781	0memhg19	TrueDI26830XA
LP0027_26_L003	0.0663533244258482	0memhg19	TrueDI26830XA
LP0027_35_L003	0.0543446643698964	0memhg19	TrueDI26830XA
LP0027_39_L003	0.0311140031802806	0memhg19	TrueDI26830XA
LP0028_01_L004	0.0422013747719493	0memhg19	TrueDI26830XA
LP0020_01	0.0126136758020539	0memhg19decoy	False40
LP0020_02	0.0142661517595303	0memhg19decoy	False40
LP0020_03	0.0113303777468553	0memhg19decoy	False40
LP0020_04	0.0133065746642353	0memhg19decoy	False40
LP0020_05	0.0143036270192061	0memhg19decoy	False40
LP0020_06	0.0145681839173221	0memhg19decoy	False40
LP0020_07	0.00952892465913677	0memhg19decoy	False40
LP0020_08	0.0111004061681368	0memhg19decoy	False40
LP0025_01_L004	0.00398560360077114	0memhg19decoy	False40
LP0025_02_L004	0.0112148770192061	0memhg19decoy	False40
LP0025_03_L003	0.0113902183342698	0memhg19decoy	False40
LP0025_04_L004	0.0103318388331925	0memhg19decoy	False40
LP0025_07_L004	0.00614651089725033	0memhg19decoy	False40
LP0025_08_L004	0.0103028181546091	0memhg19decoy	False40
LP0029_02_L004	0.00893463571529884	0memhg19decoy	False40
LP0029_04_L003	0.00812441657976677	0memhg19decoy	False40
LP0029_05_L004	0.00993511845876954	0memhg19decoy	False40
LP0029_06_L003	0.00602975554954012	0memhg19decoy	False40
