sampleID	dip_depth	ref_genome	settings
LP0026_08_L003	-0.06	0memhg38	FalseDI26830XA
LP0025_10_L003	-0.48	0memhg38	FalseDI26830XA
LP0029_02_L004	-1.16	0memhg38	FalseDI26830XA
LP0020_02	0.73	0memhg38	FalseDI26830XA
LP0029_04_L003	-2.09	0memhg38	FalseDI26830XA
LP0020_05	1.2	0memhg38	FalseDI26830XA
LP0026_26_L004	0.21	0memhg38	FalseDI26830XA
LP0025_15_L003	-0.26	0memhg38	FalseDI26830XA
LP0029_06_L003	-1.5	0memhg38	FalseDI26830XA
LP0025_24_L003	0.48	0memhg38	FalseDI26830XA
LP0025_04_L004	0.84	0memhg38	FalseDI26830XA
LP0026_07_L003	0.25	0memhg38	FalseDI26830XA
LP0029_05_L004	-0.97	0memhg38	FalseDI26830XA
LP0020_01	-0.42	0memhg38	FalseDI26830XA
LP0025_08_L004	0.37	0memhg38	FalseDI26830XA
LP0020_04	0.01	0memhg38	FalseDI26830XA
LP0028_01_L004	-0.7	0memhg38	FalseDI26830XA
LP0025_11_L003	0.99	0memhg38	True40
LP0025_06_L003	-0.17	0memhg38	True40
LP0030_05_L004	0.21	0memhg38	True40
LP0030_03_L004	-0.65	0memhg38	True40
LP0020_03	-0.53	0memhg38	True40
LP0020_06	1.52	0memhg38	True40
LP0025_07_L004	0.82	0memhg38	True40
LP0025_12_L003	-0.72	0memhg38	True40
LP0025_17_L003	-1.52	0memhg38	True40
LP0026_22_L003	0.15	0memhg38	True40
LP0025_05_L003	-0.37	0memhg38	True40
LP0027_39_L003	-0.57	0memhg38	True40
LP0025_03_L003	1.02	0memhg38	True40
LP0020_07	0.39	0memhg38	True40
LP0026_05_L003	0.5	0memhg38	True40
LP0025_01_L004	0.62	0memhg38	True40
LP0025_21_L004	0.14	0memhg38	True40
LP0027_26_L003	0.65	0memhg38	True40
LP0020_08	0.07	0memhg38	True40
LP0027_35_L003	0.84	0memhg38	True40
LP0026_42_L004	1.14	0memhg38	True40
LP0026_38_L004	2.06	0memhg38	True40
LP0025_02_L004	0.01	0memhg38	True40
LP0026_08_L003	-0.04	0memhg38	True40
LP0025_10_L003	-0.5	0memhg38	True40
LP0029_02_L004	-1.53	0memhg38	True40
LP0020_02	0.97	0memhg38	True40
LP0029_04_L003	-2.27	0memhg38	True40
LP0020_05	0.78	0memhg38	True40
LP0026_26_L004	-0.11	0memhg38	True40
LP0025_15_L003	-0.31	0memhg38	True40
LP0029_06_L003	-1.66	0memhg38	True40
LP0025_24_L003	-0.07	0memhg38	True40
LP0025_04_L004	0.59	0memhg38	True40
LP0026_07_L003	-0.08	0memhg38	True40
LP0029_05_L004	-1.11	0memhg38	True40
LP0020_01	-0.03	0memhg38	True40
LP0025_08_L004	0.29	0memhg38	True40
LP0020_04	0.48	0memhg38	True40
LP0028_01_L004	-0.83	0memhg38	True40
LP0025_11_L003	1.43	0memhg38	TrueDI26830XA
LP0025_06_L003	0.26	0memhg38	TrueDI26830XA
LP0030_05_L004	0.44	0memhg38	TrueDI26830XA
LP0030_03_L004	-0.68	0memhg38	TrueDI26830XA
LP0020_03	0.19	0memhg38	TrueDI26830XA
LP0020_06	1.8	0memhg38	TrueDI26830XA
LP0025_07_L004	1.06	0memhg38	TrueDI26830XA
LP0025_12_L003	-0.97	0memhg38	TrueDI26830XA
LP0025_17_L003	-1.71	0memhg38	TrueDI26830XA
LP0026_22_L003	0.49	0memhg38	TrueDI26830XA
LP0025_05_L003	-0.55	0memhg38	TrueDI26830XA
LP0027_39_L003	-0.29	0memhg38	TrueDI26830XA
LP0025_03_L003	0.79	0memhg38	TrueDI26830XA
LP0020_07	-0.16	0memhg38	TrueDI26830XA
LP0026_05_L003	1.11	0memhg38	TrueDI26830XA
LP0025_01_L004	0.68	0memhg38	TrueDI26830XA
LP0025_21_L004	0.05	0memhg38	TrueDI26830XA
LP0027_26_L003	0.69	0memhg38	TrueDI26830XA
LP0020_08	-0.27	0memhg38	TrueDI26830XA
LP0027_35_L003	1.17	0memhg38	TrueDI26830XA
LP0026_42_L004	1.64	0memhg38	TrueDI26830XA
LP0026_38_L004	1.79	0memhg38	TrueDI26830XA
LP0025_02_L004	-0.14	0memhg38	TrueDI26830XA
LP0026_08_L003	0.14	0memhg38	TrueDI26830XA
LP0025_10_L003	-0.25	0memhg38	TrueDI26830XA
LP0029_02_L004	-1.08	0memhg38	TrueDI26830XA
LP0020_02	0.86	0memhg38	TrueDI26830XA
LP0029_04_L003	-2.1	0memhg38	TrueDI26830XA
LP0020_05	0.88	0memhg38	TrueDI26830XA
LP0026_26_L004	0.38	0memhg38	TrueDI26830XA
LP0025_15_L003	0.27	0memhg38	TrueDI26830XA
LP0029_06_L003	-1.74	0memhg38	TrueDI26830XA
LP0025_24_L003	0.79	0memhg38	TrueDI26830XA
