sampleID	globlen_mean	ref_genome	settings
LP0025_08_L004	170.1676348226578	0memhg19	FalseDI26830XA
LP0025_10_L003	145.26481577294413	0memhg19	FalseDI26830XA
LP0025_11_L003	165.97118009269684	0memhg19	FalseDI26830XA
LP0025_12_L003	168.54561718726399	0memhg19	FalseDI26830XA
LP0025_15_L003	164.9771565916068	0memhg19	FalseDI26830XA
LP0025_17_L003	167.32103912097685	0memhg19	FalseDI26830XA
LP0025_21_L004	168.91055884181893	0memhg19	FalseDI26830XA
LP0025_24_L003	171.07597722218028	0memhg19	FalseDI26830XA
LP0026_05_L003	169.19257532224972	0memhg19	FalseDI26830XA
LP0026_07_L003	171.1644503903333	0memhg19	FalseDI26830XA
LP0026_08_L003	156.14750456907205	0memhg19	FalseDI26830XA
LP0026_22_L003	164.33587437737182	0memhg19	FalseDI26830XA
LP0026_26_L004	161.41292572410703	0memhg19	FalseDI26830XA
LP0026_38_L004	164.0338396100906	0memhg19	FalseDI26830XA
LP0026_42_L004	164.76827691695522	0memhg19	FalseDI26830XA
LP0027_26_L003	163.21033569847728	0memhg19	FalseDI26830XA
LP0027_35_L003	164.91788812820485	0memhg19	FalseDI26830XA
LP0027_39_L003	166.49769549560932	0memhg19	FalseDI26830XA
LP0028_01_L004	164.06177439777022	0memhg19	FalseDI26830XA
LP0029_02_L004	168.34040827154294	0memhg19	FalseDI26830XA
LP0029_04_L003	169.42167003342536	0memhg19	FalseDI26830XA
LP0029_05_L004	167.72852226085757	0memhg19	FalseDI26830XA
LP0029_06_L003	165.9358593478464	0memhg19	FalseDI26830XA
LP0030_03_L004	167.47939789825784	0memhg19	FalseDI26830XA
LP0030_05_L004	168.7122843306332	0memhg19	FalseDI26830XA
LP0020_01	169.3369831958392	0memhg19	True40
LP0020_02	172.82803978126097	0memhg19	True40
LP0020_03	172.93758360894594	0memhg19	True40
LP0020_04	171.00743227677677	0memhg19	True40
LP0020_05	169.23887287409534	0memhg19	True40
LP0020_06	167.57141541163898	0memhg19	True40
LP0020_07	167.02003843936606	0memhg19	True40
LP0020_08	169.06752624605036	0memhg19	True40
LP0025_01_L004	169.55576211686102	0memhg19	True40
LP0025_02_L004	175.3653980355879	0memhg19	True40
LP0025_03_L003	168.34599626127653	0memhg19	True40
LP0025_04_L004	170.30135567433325	0memhg19	True40
LP0025_05_L003	171.94671166838611	0memhg19	True40
LP0025_06_L003	168.23302062796103	0memhg19	True40
LP0025_07_L004	166.1403646552076	0memhg19	True40
LP0025_08_L004	170.0561231305351	0memhg19	True40
LP0025_10_L003	145.38070511996253	0memhg19	True40
LP0025_11_L003	165.89612717040416	0memhg19	True40
LP0025_12_L003	168.4328722186554	0memhg19	True40
LP0025_15_L003	164.932232270353	0memhg19	True40
LP0025_17_L003	167.22858267950238	0memhg19	True40
LP0025_21_L004	168.81412891474466	0memhg19	True40
LP0025_24_L003	170.94717924464732	0memhg19	True40
LP0026_05_L003	169.07245793869396	0memhg19	True40
LP0026_07_L003	171.04565408178908	0memhg19	True40
LP0026_08_L003	156.15820653792068	0memhg19	True40
LP0026_22_L003	164.27208930393746	0memhg19	True40
LP0026_26_L004	161.40222697208094	0memhg19	True40
LP0026_38_L004	163.9387071865915	0memhg19	True40
LP0026_42_L004	164.71093603770694	0memhg19	True40
LP0027_26_L003	163.16256432732	0memhg19	True40
LP0027_35_L003	164.87136095079904	0memhg19	True40
LP0027_39_L003	166.44575345143028	0memhg19	True40
LP0028_01_L004	164.0248579539737	0memhg19	True40
LP0029_02_L004	168.24773541824553	0memhg19	True40
LP0029_04_L003	169.3041617015642	0memhg19	True40
LP0029_05_L004	167.61584853491158	0memhg19	True40
LP0029_06_L003	165.86000512354212	0memhg19	True40
LP0030_03_L004	167.45943444995865	0memhg19	True40
LP0030_05_L004	168.59992891855026	0memhg19	True40
LP0020_01	169.48678826355916	0memhg19	TrueDI26830XA
LP0020_02	173.05203541137175	0memhg19	TrueDI26830XA
LP0020_03	173.0981669461416	0memhg19	TrueDI26830XA
LP0020_04	171.2009542208663	0memhg19	TrueDI26830XA
LP0020_05	169.40165043334574	0memhg19	TrueDI26830XA
LP0020_06	167.7023356902747	0memhg19	TrueDI26830XA
LP0020_07	167.11704825066423	0memhg19	TrueDI26830XA
LP0020_08	169.20415270870535	0memhg19	TrueDI26830XA
LP0025_01_L004	169.62452427577114	0memhg19	TrueDI26830XA
LP0025_02_L004	175.46805594310922	0memhg19	TrueDI26830XA
LP0025_03_L003	168.44870022220888	0memhg19	TrueDI26830XA
LP0025_04_L004	170.37299109210585	0memhg19	TrueDI26830XA
LP0025_05_L003	172.07129421451467	0memhg19	TrueDI26830XA
LP0025_06_L003	168.31956961796493	0memhg19	TrueDI26830XA
LP0025_07_L004	166.17322434112177	0memhg19	TrueDI26830XA
